Date,Henry Hub Natural Gas Spot Price (Dollars per Million Btu)
"Jan 25-2021",2.63
"Jan 26-2021",2.73
"Jan 27-2021",2.77
"Jan 28-2021",2.76
"Jan 29-2021",2.68
"Feb 01-2021",2.88
"Feb 02-2021",3.24
"Feb 03-2021",3.01
"Feb 04-2021",2.99
"Feb 05-2021",3.49
"Feb 08-2021",3.4
"Feb 09-2021",3.35
"Feb 10-2021",3.76
"Feb 11-2021",6.5
"Feb 12-2021",6.12
"Feb 16-2021",11.32
"Feb 17-2021",23.86
"Feb 18-2021",8.56
"Feb 19-2021",4.96
"Feb 22-2021",3.16
"Feb 23-2021",2.94
"Feb 24-2021",2.8
"Feb 25-2021",2.72
"Feb 26-2021",2.66
"Mar 01-2021",2.7
"Mar 02-2021",2.87
"Mar 03-2021",2.86
"Mar 04-2021",2.79
"Mar 05-2021",2.72
"Mar 08-2021",2.67
"Mar 09-2021",2.62
"Mar 10-2021",2.62
"Mar 11-2021",2.7
"Mar 12-2021",2.65
"Mar 15-2021",2.58
"Mar 16-2021",2.5
"Mar 17-2021",2.6
"Mar 18-2021",2.45
"Mar 19-2021",2.53
"Mar 22-2021",2.55
"Mar 23-2021",2.56
"Mar 24-2021",2.56
"Mar 25-2021",2.52
"Mar 26-2021",2.52
"Mar 29-2021",2.58
"Mar 30-2021",2.55
"Mar 31-2021",2.52
"Apr 01-2021",2.52
"Apr 05-2021",2.43
"Apr 06-2021",2.44
"Apr 07-2021",2.43
"Apr 08-2021",2.47
"Apr 09-2021",2.48
"Apr 12-2021",2.5
"Apr 13-2021",2.57
"Apr 14-2021",2.65
"Apr 15-2021",2.62
"Apr 16-2021",2.63
"Apr 19-2021",2.75
"Apr 20-2021",2.76
"Apr 21-2021",2.72
"Apr 22-2021",2.77
"Apr 23-2021",2.79
"Apr 26-2021",2.73
"Apr 27-2021",2.91
"Apr 28-2021",2.98
"Apr 29-2021",2.91
"Apr 30-2021",2.86
"May 03-2021",2.96
"May 04-2021",3
"May 05-2021",2.99
"May 06-2021",2.9
"May 07-2021",2.9
"May 10-2021",2.93
"May 11-2021",2.91
"May 12-2021",2.91
"May 13-2021",2.95
"May 14-2021",2.95
"May 17-2021",2.99
"May 18-2021",2.96
"May 19-2021",2.88
"May 20-2021",2.86
"May 21-2021",2.84
"May 24-2021",2.78
"May 25-2021",2.87
"May 26-2021",2.91
"May 27-2021",2.85
"May 28-2021",2.91
"Jun 01-2021",3.02
"Jun 02-2021",3.09
"Jun 03-2021",3.01
"Jun 04-2021",3.01
"Jun 07-2021",2.98
"Jun 08-2021",3.11
"Jun 09-2021",3.13
"Jun 10-2021",3.13
"Jun 11-2021",3.23
"Jun 14-2021",3.36
"Jun 15-2021",3.31
"Jun 16-2021",3.25
"Jun 17-2021",3.24
"Jun 18-2021",3.23
"Jun 21-2021",3.15
"Jun 22-2021",3.21
"Jun 23-2021",3.36
"Jun 24-2021",3.3
"Jun 25-2021",3.4
"Jun 28-2021",3.62
"Jun 29-2021",3.75
"Jun 30-2021",3.79
"Jul 01-2021",3.76
"Jul 02-2021",3.67
"Jul 06-2021",3.68
"Jul 07-2021",3.66
"Jul 08-2021",3.56
"Jul 09-2021",3.71
"Jul 12-2021",3.7
"Jul 13-2021",3.78
"Jul 14-2021",3.8
"Jul 15-2021",3.68
"Jul 16-2021",3.7
"Jul 19-2021",3.75
"Jul 20-2021",3.82
"Jul 21-2021",3.94
"Jul 22-2021",4.02
"Jul 23-2021",4.11
"Jul 26-2021",4.09
"Jul 27-2021",4.15
"Jul 28-2021",4.1
"Jul 29-2021",4.03
"Jul 30-2021",3.94
"Aug 02-2021",4.02
"Aug 03-2021",4.06
"Aug 04-2021",4.2
"Aug 05-2021",4.27
"Aug 06-2021",4.21
"Aug 09-2021",4.24
"Aug 10-2021",4.12
"Aug 11-2021",4.07
"Aug 12-2021",4.1
"Aug 13-2021",3.95
"Aug 16-2021",3.93
"Aug 17-2021",3.92
"Aug 18-2021",3.86
"Aug 19-2021",3.83
"Aug 20-2021",3.94
"Aug 23-2021",3.93
"Aug 24-2021",3.95
"Aug 25-2021",4.03
"Aug 26-2021",4.07
"Aug 27-2021",4.35
"Aug 30-2021",4.25
"Aug 31-2021",4.33
"Sep 01-2021",4.45
"Sep 02-2021",4.65
"Sep 03-2021",4.77
"Sep 07-2021",4.71
"Sep 08-2021",4.66
"Sep 09-2021",4.97
"Sep 10-2021",5.13
"Sep 13-2021",5.21
"Sep 14-2021",5.39
"Sep 15-2021",5.66
"Sep 16-2021",5.52
"Sep 17-2021",5.32
"Sep 20-2021",5.25
"Sep 21-2021",4.96
"Sep 22-2021",4.92
"Sep 23-2021",4.94
"Sep 24-2021",5.1
"Sep 27-2021",5.53
"Sep 28-2021",5.94
"Sep 29-2021",5.73
"Sep 30-2021",5.58
"Oct 01-2021",5.61
"Oct 04-2021",5.8
"Oct 05-2021",6.37
"Oct 06-2021",6
"Oct 07-2021",5.71
"Oct 08-2021",5.46
"Oct 11-2021",5.46
"Oct 12-2021",5.34
"Oct 13-2021",5.56
"Oct 14-2021",5.92
"Oct 15-2021",5.44
"Oct 18-2021",5.01
"Oct 19-2021",4.81
"Oct 20-2021",4.87
"Oct 21-2021",4.94
"Oct 22-2021",5.1
"Oct 25-2021",5.72
"Oct 26-2021",5.59
"Oct 27-2021",5.91
"Oct 28-2021",5.68
"Oct 29-2021",5.49
"Nov 01-2021",5.22
"Nov 02-2021",5.33
"Nov 03-2021",5.59
"Nov 04-2021",5.73
"Nov 05-2021",5.51
"Nov 08-2021",5.53
"Nov 09-2021",5.08
"Nov 10-2021",4.56
"Nov 11-2021",4.81
"Nov 12-2021",4.97
"Nov 15-2021",4.77
"Nov 16-2021",5.11
"Nov 17-2021",4.82
"Nov 18-2021",4.95
"Nov 19-2021",4.9
"Nov 22-2021",4.83
"Nov 23-2021",4.95
"Nov 24-2021",4.93
"Nov 29-2021",4.9
"Nov 30-2021",4.52
"Dec 01-2021",4.31
"Dec 02-2021",4.08
"Dec 03-2021",3.79
"Dec 06-2021",3.66
"Dec 07-2021",3.6
"Dec 08-2021",3.79
"Dec 09-2021",3.67
"Dec 10-2021",3.65
"Dec 13-2021",4.05
"Dec 14-2021",3.71
"Dec 15-2021",3.79
"Dec 16-2021",3.67
"Dec 17-2021",3.71
"Dec 20-2021",3.91
"Dec 21-2021",3.96
"Dec 22-2021",3.95
"Dec 23-2021",3.56
"Dec 27-2021",3.45
"Dec 28-2021",3.32
"Dec 29-2021",3.4
"Dec 30-2021",3.82
"Dec 31-2021",3.82
"Jan 03-2022",3.74
"Jan 04-2022",3.73
"Jan 05-2022",3.78
"Jan 06-2022",3.94
"Jan 07-2022",3.83
"Jan 10-2022",4.16
"Jan 11-2022",4.16
"Jan 12-2022",4.62
"Jan 13-2022",4.78
"Jan 14-2022",4.37
"Jan 18-2022",4.55
"Jan 19-2022",4.89
"Jan 20-2022",4.45
"Jan 21-2022",4.11
"Jan 24-2022",4.2
"Jan 25-2022",4.24
