Date,Henry Hub Natural Gas Spot Price (Dollars per Million Btu)
"Dec 23-2021",3.56
"Dec 27-2021",3.45
"Dec 28-2021",3.32
"Dec 29-2021",3.4
"Dec 30-2021",3.82
"Dec 31-2021",3.82
"Jan 03-2022",3.74
"Jan 04-2022",3.73
"Jan 05-2022",3.78
"Jan 06-2022",3.94
"Jan 07-2022",3.83
"Jan 10-2022",4.16
"Jan 11-2022",4.16
"Jan 12-2022",4.62
"Jan 13-2022",4.78
"Jan 14-2022",4.37
"Jan 18-2022",4.55
"Jan 19-2022",4.89
"Jan 20-2022",4.45
"Jan 21-2022",4.11
"Jan 24-2022",4.2
"Jan 25-2022",4.24
